regulator,uniprot_accession,tfbs_number,median_ratio_across_conditions,confidence
GalS,P25748,12,0.0007317,71.15
CsgD,P52106,25,0.005757771,66.13
FeaR,Q47129,4,0.104534709,101.04
XylR,P0ACI3,8,0.115349232,78.79
TorR,P38684,10,0.194462837,135.18
CytR,P0ACN7,23,0.24489772,50.86
YqhC,Q46855,2,0.384258704,63.95
SdiA,P07026,7,0.38563274,110.92
DpiA,P0AEF4,8,0.496886451,116.89
IclR,P16528,8,0.569139549,80.03
DcuR,P0AD01,6,0.768805304,64.83
MurR,P77245,3,0.844343768,82.6
GlaR,P37338,2,1.120237728,97.91
NsrR,P0AF63,41,1.242632921,129.15
NemR,P67430,1,1.268048499,66.26
GcvA,P0A9F6,6,1.380580734,92.2
UxuR,P39161,8,1.422764706,51.72
CreB,P08368,3,1.76394489,56.38
HprR,P76340,3,1.874384292,164.58
AcrR,P0ACS9,5,1.890849503,75.62
NtrC,P0AFB8,31,2.021544529,427.29
IlvY,P05827,2,2.041182951,86
SutR,P77626,4,2.120484,73.83
AscG,P24242,9,2.254677573,304.85
AgaR,P0ACK2,11,2.416770273,130.9
BasR,P30843,8,2.641284412,83.85
AtoC,Q06065,2,2.80562932,108.29
MalT,P06993,15,2.957975105,908.69
YhaJ,P67660,1,3.077433888,86.41
DnaA,P03004,24,3.080953127,308.11
GalR,P03024,12,3.10098321,383.61
LacI,P03023,3,3.462991903,223.51
TreR,P36673,2,3.585729638,65.49
FNR,P0A9E5,133,3.728028808,297.69
Mlc,P50456,7,3.76239355,216.28
GlpR,P0ACL0,18,4.166783632,86.36
DeoR,P0ACK5,8,4.237660504,71.72
ExuR,P0ACL2,11,4.5214038,126.3
Cbl,Q47083,2,4.578427465,62.11
EvgA,P0ACZ4,9,5.009091044,191.47
NadR,P27278,3,5.451961063,98.14
PspF,P37344,3,5.574992298,84.39
UlaR,P0A9W0,4,5.646429848,105.97
LldR,P0ACL7,2,5.64840542,148.17
PdhR,P0ACL9,9,5.799422655,224.5
Cra,P0ACP1,47,5.901066646,542.92
Rob,P0ACI0,18,6.227311033,339.39
LsrR,P76141,2,6.453423165,104.89
NagC,P0AF20,20,6.860427686,508.96
TyrR,P07604,19,7.09231824,859.27
OxyR,P0ACQ4,45,8.123937733,827.5
MetR,P0A9F9,5,8.468631378,91.34
BtsR,P0AFT5,1,8.784698587,76.34
QseB,P52076,6,8.898078537,468.55
LrhA,P36771,4,8.980074902,177.24
FucR,P0ACK8,2,9.117491255,64.53
CRP,P0ACJ8,296,9.688255115,816.9
PaaX,P76086,3,10.19669512,190.88
AidB,P33224,1,10.59476795,179.51
FadR,P0A8V6,20,10.76338577,474.45
NarP,P31802,22,11.36640173,323.85
LexA,P0A7C2,48,11.66321483,589.13
MngR,P13669,2,11.87670318,219.41
NarL,P0AF28,99,11.98389519,696.62
ModE,P0A9G8,8,12.01949113,344.82
EbgR,P06846,1,12.130223,96.38
NanR,P0A8W0,9,12.23940061,251.29
MazE,P0AE72,2,12.70352142,93.21
AsnC,P0ACI6,4,12.95248553,216.33
CpxR,P0AE88,71,13.14721363,461.2
UhpA,P0AGA6,2,14.79792469,230.32
BirA,P06709,1,15.02699739,150.47
CueR,P0A9G4,3,15.51489229,50.33
TrpR,P0A881,10,16.0659854,80.36
UvrY,P0AED5,5,18.33556867,192.84
ArgR,P0A6D0,31,19.52931396,83.56
CysB,P0A9F3,18,19.98579535,586.43
MntR,P0A9F1,6,20.87101085,287.5
DgoR,P31460,2,22.24983463,206.94
ZntR,P0ACS5,1,22.6196884,149.32
MraZ,P22186,6,22.70090718,175.13
MetJ,P0A8U6,28,23.23929808,340.61
ArgP,P0A8S1,22,23.99118993,509.46
PutA,P09546,5,25.67306549,2535.67
CsqR,P32144,2,25.70237426,148.82
YefM,P69346,2,27.76724009,76.08
PuuR,P0A9U6,4,30.15379796,69.89
NfeR,P64588,2,31.90893011,171.48
KdpE,P21866,1,32.44426527,224.33
HdfR,P0A8R9,2,32.51914282,219.56
PurR,P0ACP7,22,33.81410766,830.73
Zur,P0AC51,3,34.82061145,150.46
NrdR,P0A8D0,6,35.49237709,248.73
ArcA,P0A9Q1,119,36.10706062,904.76
OmpR,P0AA16,24,36.77561065,639.67
SlyA,P0A8W2,19,40.69689895,451.86
BaeR,P69228,4,45.20955235,457.39
UidR,P0ACT6,2,45.96048506,337.3
RstA,P52108,4,46.8853903,289.71
GlcC,P0ACL5,1,51.90039777,177.75
Fur,P0A9A9,110,52.36063709,695.04
GntR,P0ACP5,10,54.69269821,326.07
BolA,P0ABE2,3,60.77903287,165.66
YiaJ,P37671,1,66.94779605,92.26
MhpR,P77569,1,69.84205437,300.35
AllR,P0ACN4,2,76.67146067,243.93
DinJ,Q47150,2,77.64158349,313.29
PhoP,P23836,35,84.34954527,1055.77
RcnR,P64530,2,166.0707034,280.74
CusR,P0ACZ8,3,241.023882,547.82
CspA,P0A9X9,4,249.2315327,212.28
MprA,P0ACR9,3,253.9462816,254.63
KdgR,P76268,2,299.8368949,636.45
PepA,P68767,3,389.3850909,1456.6
IscR,P0AGK8,13,401.701284,666.97
StpA,P0ACG1,5,585.1081545,654.45
NikR,P0A6Z6,1,659.227523,422.5
AlaS,P00957,1,1778.345739,3631.87
AccB,P0ABD8,1,2071.354385,354.47