Gene name,Gene ID ,Functional description ,Fold change,Direction
adiA ,b4117 ,biodegradative arginine decarboxylase ,2.45,upregulated
afuC ,b0262 ,putative ATP-binding component of a transport system ,2.02,upregulated
ansB ,b2957 ,periplasmic L-asparaginase II ,2.28,upregulated
argK ,b2918 ,membrane ATPase/protein kinase ,2.12,upregulated
cadA ,b4131 ,lysine decarboxylase 1 ,2.6,upregulated
cadB ,b4132 ,transport of lysine cadaverine ,2.83,upregulated
ddpF ,b1483 ,"D,D-dipeptide permease system, ATP-binding component ",2.83,upregulated
ddpX ,b1488 ,"D-ala-D-ala dipeptidase, Zn-dependent ",2.49,upregulated
edd ,b1851 ,6-phosphogluconate dehydratase ,2.29,upregulated
elaD ,b2269 ,putative sulfatase,2.07,upregulated
idnD ,b4267 ,L-idonate dehydrogenase ,2.31,upregulated
nikA ,b3476 ,periplasmic binding protein for nickel ,2.15,upregulated
nikB ,b3477 ,"transport of nickel, membrane protein ",2.17,upregulated
nikD ,b3479 ,ATP-binding protein of nickel transport system ,2.24,upregulated
oxc ,b2373 ,"oxalyl CoA decarboxylase, ThDP-dependent ",2.25,upregulated
pheP ,b0576 ,phenylalanine-specific transport system and proline ,2.08,upregulated
proV ,b2677 ,"ATP-binding component of transport system for glycine, betaine and proline ",12.96,upregulated
proW ,b2678 ,high-affinity transport system for glycine betaine and proline ,17.69,upregulated
proX ,b2679 ,high-affinity transport system for glycine betaine and proline ,11.66,upregulated
rspB ,b1580 ,starvation sensing protein ,2.47,upregulated
speF ,b0693 ,"ornithine decarboxylase isozyme, inducible ",3.04,upregulated
tdcA ,b3118 ,transcriptional activator of tdc operon ,2.56,upregulated
tdcB ,b3117 ,"threonine dehydratase, catabolic ",2.89,upregulated
tdcC ,b3116 ,"anaerobically inducible L-threonine, L-serine permease ",2.29,upregulated
tdcF ,b3113 ,predicted L-PSP (mRNA) endoribonuclease ,2.18,upregulated
tdcR ,b3119 ,threonine dehydratase operon activator protein ,2.46,upregulated
tnaA ,b3708 ,tryptophanase ,3.91,upregulated
tnaB ,b3709 ,low affinity tryptophan permease ,2.76,upregulated
tnaC ,b3707 ,tryptophanase leader peptide ,3.96,upregulated
wcaB ,b2058 ,predicted acyl transferase ,2.06,upregulated
wcaD ,b2056 ,putative colanic acid polymerase ,2.56,upregulated
wcaF ,b2054 ,putative transferase ,2.7,upregulated
wzc ,b2060 ,protein-tyrosine kinase ,2.68,upregulated
yagE ,b0268 ,putative lyasesynthase ,2.04,upregulated
yahN ,b0328 ,"inner membrane protein, LysE transporter family;overproduction confers",2.38,upregulated
ydeN ,b1498 ,putative sulfatase ,2.46,upregulated
ydjJ ,b1774 ,putative oxidoreductase ,2.1,upregulated
yedS_3 ,b1966 ,putative amino acidamine transport protein ,2.09,upregulated
yfbL ,b2271 ,putative aminopeptidase ,2.46,upregulated
yfcC ,b2298 ,putative S-transferase ,2.35,upregulated
yfiK ,b2578 ,cysteine and O-acetylserine exporter ,2.38,upregulated
ygeW ,b2870 ,putative carbamoyl transferase ,2.3,upregulated
ygeX ,b2871 ,"2,3-diaminopropionate ammonia-lyase ",2.12,upregulated
ygeY ,b2872 ,putative deacetylase ,2.22,upregulated
ygfT ,b2887 ,"putative oxidoreductase, Fe-S subunit ",2.06,upregulated
yhdX ,b3269 ,putative transport system permease protein ,2.14,upregulated
yhdY ,b3270 ,putative transport system permease protein ,2.16,upregulated
yhfX ,b3381 ,predicted amino acid racemase ,2.01,upregulated
yhiP ,b3496 ,dipeptide and tripeptide permease B ,2.3,upregulated
yjdL ,b4130 ,putative peptide transporter ,2.26,upregulated
yjiM ,b4335 ,predicted 2-hydroxyglutaryl-CoA dehydratase ,2,upregulated
yqeA ,b2874 ,putative kinase ,2.22,upregulated
agaB ,b3138 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1",2.15,upregulated
agaI ,b3141 ,galactosamine-6-phosphate isomerase ,2.47,upregulated
agaV ,b3133 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 2",2.44,upregulated
agaW ,b3134 ,PTS system N-acetylgalactosameine-specific IIC component 2 ,2.67,upregulated
agaY ,b3137 ,tagatose-bisphosphate aldolase 2 ,2.67,upregulated
agaZ ,b3132 ,"tagatose 6-phosphate aldolase 1, kbaZ subunit ",2.31,upregulated
alsA ,b4087 ,fused D-allose transporter subunits of ABC superfamily: ATP-binding,2.03,upregulated
alsC ,b4086 ,D-allose transporter subunit ,2.13,upregulated
alsE ,b4085 ,allulose-6-phosphate 3-epimerase ,2.06,upregulated
araA ,b0062 ,L-arabinose isomerase ,2.08,upregulated
araF ,b1901 ,L-arabinose-binding periplasmic protein ,2.33,upregulated
arnF ,b2258 ,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit ,2,upregulated
bglB ,b3721 ,phospho-beta-glucosidase B; cryptic ,2.05,upregulated
bglF ,b3722 ,"PTS system beta-glucosides, enzyme II, cryptic ",2.1,upregulated
citE ,b0616 ,citrate lyase beta chain acyl lyase subunit ,2.15,upregulated
cmtA ,b2933 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.24,upregulated
cmtB ,b2934 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.17,upregulated
dgoT ,b3691 ,D-galactonate transport ,2.09,upregulated
ebgA ,b3076 ,"evolved beta-D-galactosidase, alpha subunit; cryptic gene ",2.26,upregulated
ebgC ,b3077 ,"evolved beta-D-galactosidase, beta subunit; cryptic gene ",2.27,upregulated
emrB ,b2686 ,multidrug resistance; probably membrane translocase ,2.03,upregulated
frvA ,b3900 ,"PTS system, fructose-specific IIA component ",2.26,upregulated
frvB ,b3899 ,"PTS system, fructose-like enzyme IIBC component ",2.1,upregulated
frvX ,b3898 ,frv operon protein ,2.11,upregulated
frwB ,b3950 ,PTS system fructose-like IIB component 1 ,2.84,upregulated
frwC ,b3949 ,"PTS system, fructose-like enzyme II component ",2.8,upregulated
fryB ,b2387 ,predicted enzyme IIB component of PTS ,2.24,upregulated
fryC ,b2386 ,predicted enzyme IIC component of PTS ,2.4,upregulated
fucA ,b2800 ,L-fuculose-1-phosphate aldolase ,2.02,upregulated
fucI ,b2802 ,L-fucose isomerase ,2.43,upregulated
fucK ,b2803 ,L-fuculokinase ,2.29,upregulated
fucP ,b2801 ,fucose permease ,2.29,upregulated
garL ,b3126 ,alpha-dehydro-beta-deoxy-D-glucarate aldolase ,2.02,upregulated
glvB ,b3682 ,"PTS system, arbutin-like IIB component ",2,upregulated
glvC ,b3683 ,"PTS system, arbutin-like IIC component ",2.16,upregulated
glvG ,b3681 ,probable 6-phospho-beta-glucosidase ,2.25,upregulated
gntP ,b4321 ,gluconate transport system permease 3 ,2.43,upregulated
gntU ,b3436 ,a gluconate transporter ,2,upregulated
gudP ,b2789 ,putative D-glucarate permease (MFS family) ,2.52,upregulated
hcaT ,b2536 ,MFS (major facilitator superfamily) transporter ,2.18,upregulated
hrsA ,b0731 ,"protein modification enzyme, induction of ompC ",2.05,upregulated
hycA ,b2725 ,transcriptional repression of hyc and hyp operons ,2,upregulated
hyi ,b0508 ,hydroxypyruvate isomerase ,2.07,upregulated
idnT ,b4265 ,L-idonate transporter ,2.28,upregulated
kdgT ,b3909 ,2-keto-3-deoxy-D-gluconate transport system ,2.01,upregulated
lamB ,b4036 ,phage lambda receptor protein; maltose high-affinity receptor ,2.01,upregulated
malF ,b4033 ,"part of maltose permease, periplasmic ",2.19,upregulated
malG ,b4032 ,"part of maltose permease, inner membrane ",2.27,upregulated
malK ,b4035 ,ATP-binding component of transport system for maltose ,2.38,upregulated
malM ,b4037 ,periplasmic protein of maltose regulon ,2,upregulated
maoC ,b1387 ,putative aldehyde dehydrogenase ,2.4,upregulated
melR ,b4118 ,regulator of melibiose operon ,2.22,upregulated
molR_2 ,b2116 ,"molybdate metabolism regulator, second fragment 2 ",2.18,upregulated
nanT ,b3224 ,sialic acid transporter ,2.55,upregulated
otsA ,b1896 ,trehalose-6-phosphate synthase ,4.33,upregulated
otsB ,b1897 ,"trehalose-6-phosphate phophatase, biosynthetic ",3.78,upregulated
ptsA ,b3947 ,PEP-protein phosphotransferase system enzyme I ,2.17,upregulated
ptxA ,b4195 ,L-ascorbate-specific enzyme IIA component of PTS ,2.03,upregulated
rhaA ,b3903 ,L-rhamnose isomerase ,2.62,upregulated
rhaB ,b3904 ,rhamnulokinase ,2.4,upregulated
rhaD ,b3902 ,rhamnulose-phosphate aldolase ,2.06,upregulated
rhaR ,b3906 ,positive regulator for rhaRS operon ,2.55,upregulated
rhaS ,b3905 ,positive regulator for rhaBAD operon ,2.05,upregulated
setB ,b2170 ,lactose/glucose efflux system ,2.12,upregulated
sgaU ,b4197 ,L-xylulose 5-phosphate 3-epimerase ,2.22,upregulated
sgbE ,b3583 ,L-ribulose-5-phosphate 4-epimerase ,2.2,upregulated
sgbH ,b3581 ,3-keto-L-gulonate 6-phosphate decarboxylase ,2.03,upregulated
sgbU ,b3582 ,predicted L-xylulose 5-phosphate 3-epimerase ,2.18,upregulated
sgcX ,b4305 ,KpLE2 phage-like element; predicted endoglucanase with Zn-dependent,2.11,upregulated
srlA ,b2702 ,"PTS system, glucitolsorbitol-specific IIC component, one of two ",2.05,upregulated
treB ,b4240 ,"PTS system enzyme II, trehalose specific ",2.18,upregulated
treC ,b4239 ,trehalase 6-P hydrolase ,2.12,upregulated
uhpT ,b3666 ,hexose phosphate transport protein ,2.13,upregulated
uxaB ,b1521 ,altronate oxidoreductase ,2.06,upregulated
uxuB ,b4323 ,D-mannonate oxidoreductase ,2.08,upregulated
xylF ,b3566 ,xylose binding protein transport system ,2.47,upregulated
ycjN ,b1310 ,predicted sugar transporter subunit: periplasmic-binding component of ABC,2.71,upregulated
ycjU ,b1317 ,beta-phosphoglucomutase ,2.16,upregulated
ycjV ,b1318 ,putative ATP-binding sugar transporter ,2.1,upregulated
ydeZ ,b1515 ,autoinducer 2 import system permease protein ,2.03,upregulated
yeeR ,b2001 ,putative PTS enzyme II ,2.44,upregulated
yeiC ,b2166 ,pseudouridine kinase ,2.25,upregulated
yfeN ,b2408 ,putative sugar hydrolase ,2.15,upregulated
ygbL ,b2738 ,predicted class II aldolase ,2.3,upregulated
ygcE ,b2776 ,putative kinase ,2.57,upregulated
yggF ,b2930 ,glyoxylate-induced protein ,2.07,upregulated
ygiZ ,b3027 ,"molybdate metabolism regulator, first fragment ",2.25,upregulated
ygjE ,b3063 ,L-tartrate/succinate antiporte ,2.24,upregulated
ygjK ,b3080 ,alpha-glucosidase ,2.16,upregulated
yhbX ,b3173 ,putative alkaline phosphatase I ,2.13,upregulated
yhfW ,b3380 ,putative mutase ,2.01,upregulated
yiaL ,b3576 ,putative lipase ,2.55,upregulated
yiaM ,b3577 ,L-dehydroascorbate transporter ,2.24,upregulated
yiaN ,b3578 ,L-dehydroascorbate transporter ,2.43,upregulated
yiaO ,b3579 ,L-dehydroascorbate transporter ,2.37,upregulated
yieC ,b3720 ,"carbohydrate-specific outer membrane porin, cryptic ",2.13,upregulated
yihO ,b3876 ,putative permease ,2.35,upregulated
yihP ,b3877 ,putative permease ,2.62,upregulated
yihS ,b3880 ,aldose-ketose isomerase; D-mannose isomerase ,2.33,upregulated
yjfR ,b4192 ,L-ascorbate 6-phosphate lactonase ,2.08,upregulated
yjhF ,b4296 ,putative transport system permease ,2.06,upregulated
yjhP ,b4306 ,putative methyltransferase ,2.66,upregulated
yjjN ,b4358 ,L-galactonate oxidoreductase,2.74,upregulated
yliI ,b0837 ,soluble aldose sugar dehydrogenase ,2.05,upregulated
dicB ,b1575 ,inhibition of cell division ,2.2,upregulated
dicC ,b1569 ,regulator of dicB ,2.14,upregulated
fliH ,b1940 ,flagellar assembly protein,2.33,upregulated
csgC ,b1043 ,curli assembly protein ,2.24,upregulated
ecpD ,b0140 ,probable pilin chaperone similar to PapD ,2.44,upregulated
fhiA ,b0229 ,flagellar biosynthesis ,2.05,upregulated
fimG ,b4319 ,fimbrial morphology ,2.06,upregulated
flgC ,b1074 ,"flagellar biosynthesis, cell-proximal portion of basal-body rod ",2.83,upregulated
flgD ,b1075 ,"flagellar biosynthesis, initiation of hook assembly ",2.08,upregulated
flgE ,b1076 ,"flagellar biosynthesis, hook protein ",2.27,upregulated
flgG ,b1078 ,"flagellar biosynthesis, cell-distal portion of basal-body rod ",2.23,upregulated
flgH ,b1079 ,"flagellar biosynthesis, basal-body outer-membrane L (lipopolysaccharide",2.42,upregulated
flgI ,b1080 ,homolog of Salmonella P-ring of flagella basal body ,2.2,upregulated
flgK ,b1082 ,"flagellar biosynthesis, hook-filament junction protein 1 ",2.32,upregulated
flhE ,b1878 ,flagellar protein ,2.3,upregulated
fliI ,b1941 ,flagellum-specific ATP synthase ,2.07,upregulated
fliJ ,b1942 ,flagellar fliJ protein ,2.32,upregulated
fliK ,b1943 ,flagellar hook-length control protein ,2.17,upregulated
fliL ,b1944 ,flagellar biosynthesis ,2.15,upregulated
fliP ,b1948 ,flagellar biosynthesis ,2.24,upregulated
fliQ ,b1949 ,flagellar biosynthesis ,2.58,upregulated
fliR ,b1950 ,flagellar biosynthesis ,2.55,upregulated
fliS ,b1925 ,flagellar biosynthesis; repressor of class 3a and 3b operons (RflA activity) ,2.05,upregulated
gspD ,b3325 ,"general secretory pathway component, cryptic ",2.33,upregulated
gspE ,b3326 ,"general secretory pathway component, cryptic ",2.34,upregulated
gspF ,b3327 ,"general secretory pathway component, cryptic ",2.02,upregulated
gspG ,b3328 ,"pseudopilin, cryptic, general secretion pathway ",2.27,upregulated
gspH ,b3329 ,"general secretory pathway component, cryptic ",3.11,upregulated
gspI ,b3330 ,"general secretory pathway component, cryptic ",2.57,upregulated
htrE ,b0139 ,probable outer membrane porin protein involved in fimbrial assembly ,2.45,upregulated
motA ,b1890 ,proton conductor component of motor; no effect on switching ,2.39,upregulated
motB ,b1889 ,"enables flagellar motor rotation, linking torque machinery to cell wall ",2.19,upregulated
murP ,b2429 ,flagellar biosynthesis; repressor of class 3a and 3b operons (RflA activity) ,2.44,upregulated
sfmA ,b0530 ,putative fimbrial-like protein ,2.48,upregulated
sfmC ,b0531 ,"pilin chaperone, periplasmic ",2.54,upregulated
sfmF ,b0534 ,putative fimbrial-like protein ,2.79,upregulated
sfmH ,b0533 ,involved in fimbrial asembly ,3.34,upregulated
tap ,b1885 ,"methyl-accepting chemotaxis protein IV, peptide sensor receptor ",2.15,upregulated
yadN ,b0141 ,putative fimbrial-like protein ,2.23,upregulated
yagZ ,b0293 ,cryptic Mat fimbrillin gene ,2.04,upregulated
ybcW ,b0559 ,putative fimbrial-like protein ,2.26,upregulated
ybgP ,b0717 ,putative chaperone ,2.89,upregulated
ybgQ ,b0718 ,putative outer membrane protein ,2.57,upregulated
ycbF ,b0944 ,putative chaperone ,2.17,upregulated
ycbR ,b0939 ,putative chaperone ,2.21,upregulated
ycbS ,b0940 ,putative outer membrane protein ,2.08,upregulated
ydeQ ,b1502 ,putative adhesin; similar to FimH protein ,3.05,upregulated
ydeS ,b1504 ,putative fimbrial-like protein ,2.82,upregulated
yehB ,b2109 ,putative outer membrane protein ,2.49,upregulated
yehC ,b2110 ,putative chaperone ,2.07,upregulated
yfcR ,b2335 ,putative fimbrial protein ,2.23,upregulated
yfcV ,b2339 ,putative fimbrial-like protein ,2.6,upregulated
yggR ,b2950 ,putative protein transport ,2.22,upregulated
ygiL ,b3043 ,putative fimbrial-like protein ,2.45,upregulated
yodD ,b1953 ,putative curli production protein ,2.24,upregulated
yraK ,b3145 ,putative fimbrial protein ,2.1,upregulated
acrE ,b3265 ,transmembrane protein affects septum formation and cell membrane,2.43,upregulated
agaS ,b3136 ,tagatose-6-phosphate ketose/aldose isomerase ,2.23,upregulated
arnT ,b2257 ,4-amino-4-deoxy-L-arabinose transferase (lipid A modification) ,2.07,upregulated
betT ,b0314 ,high-affinity choline transport ,3.77,upregulated
caiT ,b0040 ,probable carnitine transporter ,2.55,upregulated
cpsB ,b2049 ,mannose-1-phosphate guanyltransferase ,2.01,upregulated
cusC ,b0572 ,"copper/silver efflux system, outer membrane component ",2.01,upregulated
fepE ,b0587 ,ferric enterobactin (enterochelin) transport ,2.11,upregulated
gudX ,b2788 ,(D)-glucarate dehydratase 1 ,2.09,upregulated
ompN ,b1377 ,"outer membrane pore protein N, non-specific ",2.32,upregulated
rspA ,b1581 ,starvation sensing protein ,2.63,upregulated
wcaA ,b2059 ,predicted glycosyl transferase ,2.36,upregulated
wcaC ,b2057 ,predicted glycosyl transferase ,2.76,upregulated
wcaE ,b2055 ,putative colanic acid biosynthesis glycosyl transferase ,2.4,upregulated
wcaG ,b2052 ,putative nucleotide di-P-sugar epimerase or dehydratase ,2.3,upregulated
wcaI ,b2050 ,putative colanic biosynthesis glycosyl transferase ,2.21,upregulated
wcaJ ,b2047 ,putative colanic acid biosynthsis UDP-glucose lipid carrier transferase ,2.05,upregulated
wza ,b2062 ,putative polysaccharide export protein ,2.43,upregulated
yaiU ,b0374 ,putative flagellin structural protein ,2.18,upregulated
yeaV ,b1801 ,putative transport protein ,2.66,upregulated
yfhD ,b2558 ,putative periplasmic binding transport protein ,2.1,upregulated
yhiU ,b3513 ,putative membrane protein ,2.3,upregulated
yiaD ,b3552 ,putative outer membrane protein ,2.46,upregulated
yjcP ,b4080 ,outer membrane factor of efflux pump ,2.19,upregulated
yohG ,b2138 ,putative channelfilament proteins ,2.2,upregulated
bioA ,b0774 ,"7,8-diaminopelargonic acid synthetase ",2.01,upregulated
bioD ,b0778 ,dethiobiotin synthetase ,2.11,upregulated
bioF ,b0776 ,8-amino-7-oxononanoate synthase ,2.04,upregulated
citD ,b0617 ,citrate lyase acyl carrier protein (gamma chain) ,2.37,upregulated
citF ,b0615 ,"citrate lyase, citrate-ACP transferase (alpha) subunit ",2.1,upregulated
citG ,b0613 ,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase ,2.91,upregulated
citT ,b0612 ,citrate:succinate antiporter ,2.48,upregulated
citX ,b0614 ,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase ,2.68,upregulated
thiG ,b3991 ,thiamin (thiazole moiety) biosynthesis protein ,2.05,upregulated
thiM ,b2104 ,hydoxyethylthiazole kinase ,2.2,upregulated
ampC ,b4150 ,beta-lactamase; penicillin resistance ,2.09,upregulated
dinF ,b4044 ,DNA-damage-inducible protein F ,2.19,upregulated
emrK ,b2368 ,multidrug resistance protein K ,2.6,upregulated
emrY ,b2367 ,multidrug resistance protein Y ,2.57,upregulated
mdtC ,b2076 ,"multidrug efflux system, subunit C ",2.03,upregulated
mdtF ,b3514 ,"multidrug transporter, RpoS-dependent ",2.65,upregulated
mdtJ ,b1600 ,multidrug efflux system transporter ,2.34,upregulated
mdtL ,b1599 ,multidrug efflux system transporter ,2.41,upregulated
ybeR ,b0645 ,putative lambdoid prophage Rac excisionase ,2.37,upregulated
ycfZ ,b1121 ,homolog of virulence factor ,2.12,upregulated
yiaV ,b3586 ,"membrane fusion protein (MFP) component of efflux pump, signal anchor ",2.21,upregulated
yibH ,b3597 ,putative membrane protein ,2.06,upregulated
yjcP ,b4080 ,outer membrane factor of efflux pump ,2.19,upregulated
yjcR ,b4082 ,membrane fusion protein of efflux pump ,2.19,upregulated
aldB ,b3588 ,aldehyde dehydrogenase B (lactaldehyde dehydrogenase) ,2.16,upregulated
allA ,b0505 ,ureidoglycolate hydrolase ,2.23,upregulated
allB ,b0512 ,allantoinase ,2.33,upregulated
allC ,b0516 ,allantoate amidohydrolase ,2.47,upregulated
allD ,b0517 ,ureidoglycolate dehydrogenase ,2.6,upregulated
allS ,b0504 ,DNA-binding transcriptional activator of the allD operon ,2.56,upregulated
araB ,b0063 ,L-ribulokinase ,2.12,upregulated
aslB ,b3800 ,putative arylsulfatase regulator ,2.15,upregulated
betB ,b0312 ,NAD+-dependent betaine aldehyde dehydrogenase ,2.74,upregulated
dcuD ,b3227 ,putative transport protein ,2.28,upregulated
fadH ,b3081 ,"2,4-dienoyl-CoA reductase, NADH and FMN-linked ",2.17,upregulated
fadJ ,b2341 ,fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA,2.31,upregulated
fadL ,b2342 ,"beta-ketoacyl-CoA thiolase, anaerobic, subunit ",2.39,upregulated
fdrA ,b0518 ,involved in protein transport; multicopy suppressor of dominant negative,2.47,upregulated
fixA ,b0041 ,"predicted electron transfer flavoprotein subunit, required for anaerobic",3.17,upregulated
fixC ,b0043 ,predicted oxidoreductase with FAD/NAD(P)-binding domain ,2.66,upregulated
fixX ,b0044 ,predicted 4Fe-4S ferredoxin-type protein ,2.57,upregulated
frc ,b2374 ,"formyl-CoA transferase, NAD(P)-binding ",2.47,upregulated
frmA ,b0356 ,"alcohol dehydrogenase class III; formaldehyde dehydrogenase,",5.45,upregulated
frmB ,b0355 ,S-formylglutathione hydrolase ,12.95,upregulated
frmR ,b0357 ,repressor of frmRAB ,4.75,upregulated
fucO ,b2799 ,"L-1,2-propanediol oxidoreductase ",2.02,upregulated
hcp ,b0873 ,hybrid-cluster ,2.4,upregulated
hycC ,b2723 ,membrane-spanning protein of hydrogenase 3 (part of FHL complex) ,2.08,upregulated
hycD ,b2722 ,membrane-spanning protein of hydrogenase 3 (part of FHL complex) ,2.25,upregulated
hydN ,b2713 ,"involved in electron transport from formate to hydrogen, Fe-S centers ",2.03,upregulated
hyfA ,b2481 ,hydrogenase 4 Fe-S subunit ,2.71,upregulated
hyfB ,b2482 ,hydrogenase 4 membrane subunit ,2.76,upregulated
hyfC ,b2483 ,hydrogenase 4 membrane subunit ,2.45,upregulated
hyfD ,b2484 ,hydrogenase 4 membrane subunit ,2.23,upregulated
hyfE ,b2485 ,hydrogenase 4 membrane subunit ,2.07,upregulated
hyfG ,b2487 ,hydrogenase 4 subunit ,2.62,upregulated
napG ,b2205 ,ferredoxin-type protein: electron transfer ,2.01,upregulated
narG ,b1224 ,"nitrate reductase 1, alpha subunit ",3.47,upregulated
narH ,b1225 ,"nitrate reductase 1, beta subunit ",2.22,upregulated
narJ ,b1226 ,"nitrate reductase 1, delta subunit, assembly function ",2.25,upregulated
ndh ,b1109 ,respiratory NADH dehydrogenase ,2.34,upregulated
norV ,b2710 ,citrate lyase alpha chain ,2.1,upregulated
nrfC ,b4072 ,formate-dependent nitrite reductase; Fe-S centers ,2.6,upregulated
paaA ,b1388 ,"ring 1,2-phenylacetyl-CoA epoxidase subunit ",2.57,upregulated
paaB ,b1389 ,"ring 1,2-phenylacetyl-CoA epoxidase possible subunit, not required for in",2.54,upregulated
paaC ,b1390 ,"ring 1,2-phenylacetyl-CoA epoxidase subunit ",2.75,upregulated
paaD ,b1391 ,"ring 1,2-phenylacetyl-CoA epoxidase subunit ",2.57,upregulated
paaE ,b1392 ,"ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component ",2.04,upregulated
rutA ,b1012 ,"pyrimidine oxygenase, FMN-dependent ",2.47,upregulated
rutB ,b1011 ,ureidoacrylate amidohydrolase,2.53,upregulated
rutC ,b1010 ,putative aminoacrylate peracid reductase ,2.04,upregulated
rutD ,b1009 ,putative aminoacrylate hydrolase ,2.32,upregulated
rutF ,b1007 ,flavin:NADH reductase ,2.02,upregulated
torC ,b0996 ,"trimethylamine N-oxide reductase, cytochrome c-type subunit ",2.06,upregulated
torD ,b0998 ,part of trimethylamine-N-oxide oxidoreductase ,2.54,upregulated
torR ,b0995 ,DNA-binding response regulator in two-component regulatory system with,2.1,upregulated
torS ,b0993 ,hybrid sensory histidine kinase in two-component regulatory system with,2.24,upregulated
ttdA ,b3061 ,"L-tartrate dehydratase, subunit A ",2.07,upregulated
ttdB ,b3062 ,"L-tartrate dehydratase, subunit B ",2.14,upregulated
xdhA ,b2866 ,"xanthine dehydrogenase, molybdenum binding subunit ",2.28,upregulated
yagS ,b0285 ,"PaoABC aldehyde oxidoreductase, FAD-containing subunit ",2.13,upregulated
yahF ,b0320 ,putative oxidoreductase subunit ,2.02,upregulated
yccM ,b0992 ,predicted 4Fe-4S membrane protein ,2.28,upregulated
ycgH_1 ,b1169 ,putative ATP-binding component of a transport system ,3.04,upregulated
ycgH_2 ,b1170 ,putative part of putative ATP-binding component of a transport system ,2.31,upregulated
ydbK ,b1378 ,"putative oxidoreductase, Fe-S subunit ",3.52,upregulated
yddA ,b1496 ,putative ATP-binding component of a transport system ,2.3,upregulated
yeaW ,b1802 ,predicted 2Fe-2S cluster-containing protein ,2.36,upregulated
yfdE ,b2371 ,"predicted CoA-transferase, NAD(P)-binding ",2.23,upregulated
ygcN ,b2766 ,predicted oxidoreductase with FAD/NAD(P)-binding domain ,2.2,upregulated
ygcR ,b2770 ,putative transport protein ,2.18,upregulated
ygcU ,b2773 ,putative oxidoreductase subunit ,2.03,upregulated
yhiD ,b3508 ,putative Mg(2+)transport ATPase ,2.11,upregulated
yiaK ,b3575 ,putative dehydrogenase ,2.17,upregulated
yiaY ,b3589 ,putative oxidoreductase ,2.41,upregulated
yjiL ,b4334 ,"putative ATPase, activator of(R)-hydroxyglutaryl-CoA dehydartase ",2.14,upregulated
ykgD ,b0305 ,putative ARAC-type regulatory protein ,2.03,upregulated
ykgE ,b0306 ,putative dehydrogenase subunit ,2.09,upregulated
ylbF ,b0520 ,response transcriptional regulator for torA (sensor TorS) ,2.1,upregulated
ynbB ,b1409 ,putative phosphatidate cytidiltransferase ,2.56,upregulated
yodB ,b1974 ,cytochrome b561 homolog 1 ,2.05,upregulated
yqhD ,b3011 ,putative oxidoreductase ,3.92,upregulated
arsB ,b3502 ,arsenical pump membrane protein ,2.39,upregulated
aslA ,b3801 ,arylsulfatase ,2.33,upregulated
clcB ,b1592 ,"chloride channel, voltage-gated ",2.01,upregulated
cynS ,b0340 ,cyanate aminohydrolase ,2.31,upregulated
cynT ,b0339 ,carbonic anhydrase ,2.07,upregulated
cynX ,b0341 ,cyanate transport ,2.17,upregulated
focB ,b2492 ,probable formate transporter (formate channel 2) ,2.36,upregulated
katE ,b1732 ,catalase; hydroperoxidase HPII(III) ,2.84,upregulated
mgtA ,b4242 ,"Mg2+ transport ATPase, P-type 1 ",3.86,upregulated
